date,race,weather,horses,condition,fam,gate,number,name,sex,age,weight,odds,popular,weight_diff,training_center,result
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,3,6,メジャーエンブレム,牝,3,55.0,1.3,1.0,4.0,東,1
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,1,2,フロンテアクイーン,牝,3,54.0,33.7,7.0,-2.0,東,2
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,2,3,ロッテンマイヤー,牝,3,54.0,24.1,6.0,-4.0,西,3
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,4,7,ダイワドレッサー,牝,3,54.0,38.2,9.0,0.0,東,4
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,7,14,ラブリーアモン,牝,3,54.0,35.0,8.0,-2.0,東,4
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,3,5,ナックビーナス,牝,3,54.0,123.9,13.0,4.0,東,6
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,6,12,エクラミレネール,牝,3,54.0,62.3,11.0,-4.0,東,7
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,8,16,ルフォール,牝,3,54.0,13.5,3.0,-10.0,東,8
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,6,11,ビービーバーレル,牝,3,55.0,16.3,4.0,-2.0,東,9
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,4,8,ペルソナリテ,牝,3,54.0,20.8,5.0,-6.0,東,10
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,2,4,マシェリガール,牝,3,54.0,403.2,15.0,8.0,東,11
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,8,15,ソロフライト,牝,3,54.0,344.8,14.0,-8.0,東,12
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,1,1,ストライクショット,牝,3,54.0,81.3,12.0,0.0,東,13
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,5,9,シトロン,牝,3,54.0,466.7,16.0,-2.0,東,14
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,7,13,サプルマインド,牝,3,54.0,8.4,2.0,-12.0,西,15
2016/02/13,デイリー杯クイーンC(G3),晴,16,良,True,5,10,コパノマリーン,牝,3,54.0,59.0,10.0,-6.0,東,16
1989/05/14,安田記念(G1),晴,17,稍,False,7,14,バンブーメモリー,牡,5,57.0,18.7,10.0,2.0,西,1
1989/05/14,安田記念(G1),晴,17,稍,False,6,11,ダイゴウシュール,牡,5,57.0,23.1,12.0,6.0,東,2
1989/05/14,安田記念(G1),晴,17,稍,False,5,9,ミスティックスター,牡,7,57.0,11.9,6.0,2.0,西,3
1989/05/14,安田記念(G1),晴,17,稍,False,6,12,ホクトヘリオス,牡,6,57.0,3.6,1.0,0.0,東,4
1989/05/14,安田記念(G1),晴,17,稍,False,1,1,ハワイアンコーラル,牡,5,57.0,31.7,14.0,2.0,東,5
1989/05/14,安田記念(G1),晴,17,稍,False,1,2,パッシングショット,牝,5,55.0,14.0,8.0,2.0,西,6
1989/05/14,安田記念(G1),晴,17,稍,False,3,6,ウィニングスマイル,牡,7,57.0,12.7,7.0,0.0,東,7
1989/05/14,安田記念(G1),晴,17,稍,False,4,8,コーセイ,牝,6,55.0,16.7,9.0,10.0,東,8
1989/05/14,安田記念(G1),晴,17,稍,False,4,7,アイビートウコウ,牡,5,57.0,48.9,15.0,-10.0,東,9
1989/05/14,安田記念(G1),晴,17,稍,False,3,5,リンドホシ,牡,5,57.0,7.0,2.0,-4.0,東,10
1989/05/14,安田記念(G1),晴,17,稍,False,5,10,ランドヒリュウ,牡,8,57.0,9.5,5.0,10.0,西,10
1989/05/14,安田記念(G1),晴,17,稍,False,8,17,ミスターボーイ,牡,8,57.0,26.1,13.0,-8.0,西,12
1989/05/14,安田記念(G1),晴,17,稍,False,7,13,トウショウマリオ,牡,5,57.0,7.5,4.0,2.0,東,13
1989/05/14,安田記念(G1),晴,17,稍,False,8,16,ダイナアルテミス,牝,6,55.0,77.6,16.0,-6.0,東,14
1989/05/14,安田記念(G1),晴,17,稍,False,7,15,ケープポイント,牡,7,57.0,21.2,11.0,-2.0,東,15
1989/05/14,安田記念(G1),晴,17,稍,False,2,4,サクラチヨノオー,牡,5,57.0,7.2,3.0,12.0,東,16
1989/05/14,安田記念(G1),晴,17,稍,False,2,3,タケデンジャスミン,牝,5,55.0,203.6,17.0,4.0,東,17
1989/05/14,安田記念(G1),晴,17,稍,False,8,18,ミスターホーショー,牡,5,57.0,,,,東,取
1996/06/09,安田記念(G1),曇,17,良,False,6,12,トロットサンダー,牡,8,58.0,3.4,1.0,-4.0,東,1
1996/06/09,安田記念(G1),曇,17,良,False,4,8,タイキブリザード,牡,6,58.0,5.7,3.0,0.0,東,2
1996/06/09,安田記念(G1),曇,17,良,False,1,2,ヒシアケボノ,牡,5,58.0,31.0,12.0,-10.0,西,3
1996/06/09,安田記念(G1),曇,17,良,False,5,9,ジェニュイン,牡,5,58.0,13.8,6.0,-12.0,東,4
1996/06/09,安田記念(G1),曇,17,良,False,3,6,ビコーペガサス,牡,6,58.0,20.5,8.0,0.0,西,5
1996/06/09,安田記念(G1),曇,17,良,False,3,5,ダンスパートナー,牝,5,56.0,15.4,7.0,6.0,西,6
1996/06/09,安田記念(G1),曇,17,良,False,4,7,メイショウユウシ,牡,6,58.0,37.1,13.0,-6.0,西,7
1996/06/09,安田記念(G1),曇,17,良,False,7,14,ヤマニンパラダイス,牝,5,56.0,28.9,11.0,4.0,西,8
1996/06/09,安田記念(G1),曇,17,良,False,2,4,フラワーパーク,牝,5,56.0,10.5,5.0,-4.0,西,9
1996/06/09,安田記念(G1),曇,17,良,False,5,10,ヒシアマゾン,牝,6,56.0,9.8,4.0,-6.0,東,10
1996/06/09,安田記念(G1),曇,17,良,False,7,13,オースミタイクーン,牡,6,58.0,63.7,15.0,0.0,西,11
1996/06/09,安田記念(G1),曇,17,良,False,8,15,ハートレイク,牡,6,58.0,5.7,2.0,0.0,外,12
1996/06/09,安田記念(G1),曇,17,良,False,1,1,フジノマッケンオー,牡,6,58.0,43.9,14.0,-6.0,西,13
1996/06/09,安田記念(G1),曇,17,良,False,6,11,ゼネラリスト,牡,4,54.0,24.4,10.0,-8.0,西,14
1996/06/09,安田記念(G1),曇,17,良,False,2,3,シャンクシー,牝,5,56.0,20.8,9.0,-4.0,外,15
1996/06/09,安田記念(G1),曇,17,良,False,8,17,トウホーケリー,牝,6,56.0,118.9,16.0,4.0,東,16
1996/06/09,安田記念(G1),曇,17,良,False,8,16,トーワウィナー,牡,7,58.0,168.3,17.0,-4.0,西,17
2001/01/30,東京新聞杯(G3),晴,13,稍,False,4,4,チェックメイト,牡,6,56.0,5.5,4.0,0.0,西,1
2001/01/30,東京新聞杯(G3),晴,13,稍,False,1,1,シンコウエドワード,牡,6,55.0,2.9,1.0,-2.0,東,2
2001/01/30,東京新聞杯(G3),晴,13,稍,False,6,8,スティンガー,牝,5,58.0,4.5,2.0,2.0,東,3
2001/01/30,東京新聞杯(G3),晴,13,稍,False,6,9,マチカネホクシン,牡,4,54.0,12.9,6.0,-2.0,西,4
2001/01/30,東京新聞杯(G3),晴,13,稍,False,3,3,マイシーズン,牡,5,55.0,37.4,9.0,-6.0,西,5
2001/01/30,東京新聞杯(G3),晴,13,稍,False,7,11,ミラクルタイム,牡,6,55.0,150.4,12.0,0.0,東,6
2001/01/30,東京新聞杯(G3),晴,13,稍,False,4,5,トッププロテクター,牡,4,55.0,9.3,5.0,-6.0,西,7
2001/01/30,東京新聞杯(G3),晴,13,稍,False,8,12,ゼンノエルシド,牡,4,53.0,5.2,3.0,-10.0,東,8
2001/01/30,東京新聞杯(G3),晴,13,稍,False,7,10,サーストンフライト,牡,6,55.0,28.6,8.0,-6.0,西,9
2001/01/30,東京新聞杯(G3),晴,13,稍,False,5,6,ザカリヤ,牡,5,57.0,23.2,7.0,0.0,東,10
2001/01/30,東京新聞杯(G3),晴,13,稍,False,5,7,マニックサンデー,牝,4,52.0,38.7,10.0,-4.0,東,11
2001/01/30,東京新聞杯(G3),晴,13,稍,False,2,2,アドマイヤタッチ,牡,4,53.0,189.8,13.0,14.0,西,12
2001/01/30,東京新聞杯(G3),晴,13,稍,False,8,13,テンパイ,牡,8,56.0,143.8,11.0,-16.0,西,13
1990/06/03,NZT4歳S(G2),曇,16,良,False,4,8,ミュージックタイム,牡,4,56.0,4.5,3.0,2.0,東,1
1990/06/03,NZT4歳S(G2),曇,16,良,False,5,9,ダイタクヘリオス,牡,4,56.0,3.6,1.0,0.0,西,2
1990/06/03,NZT4歳S(G2),曇,16,良,False,7,13,インタースナイパー,牡,4,56.0,18.4,7.0,-2.0,東,3
1990/06/03,NZT4歳S(G2),曇,16,良,False,1,2,シュバリエ,牡,4,56.0,12.8,6.0,4.0,東,4
1990/06/03,NZT4歳S(G2),曇,16,良,False,8,15,シンボリガルーダ,牡,4,56.0,28.5,9.0,-2.0,東,5
1990/06/03,NZT4歳S(G2),曇,16,良,False,8,16,エイシンアドバンス,牡,4,56.0,50.8,12.0,-10.0,西,6
1990/06/03,NZT4歳S(G2),曇,16,良,False,3,6,トウショウバレット,牡,4,56.0,42.0,11.0,6.0,東,7
1990/06/03,NZT4歳S(G2),曇,16,良,False,6,11,ヤマタケサリー,牝,4,54.0,80.3,15.0,0.0,東,8
1990/06/03,NZT4歳S(G2),曇,16,良,False,7,12,ダイカツリュウセイ,牡,4,56.0,10.0,5.0,0.0,西,9
1990/06/03,NZT4歳S(G2),曇,16,良,False,1,1,フジノパーソナ,牝,4,54.0,195.5,16.0,-4.0,東,10
1990/06/03,NZT4歳S(G2),曇,16,良,False,8,14,ブランドピート,牝,4,54.0,27.4,8.0,-6.0,東,11
1990/06/03,NZT4歳S(G2),曇,16,良,False,3,5,ハントウイッシュ,牝,4,54.0,6.7,4.0,0.0,東,12
1990/06/03,NZT4歳S(G2),曇,16,良,False,4,7,メジロマドンナ,牝,4,54.0,53.6,13.0,2.0,東,13
1990/06/03,NZT4歳S(G2),曇,16,良,False,2,4,サファリキャップ,牝,4,54.0,75.2,14.0,-4.0,東,14
1990/06/03,NZT4歳S(G2),曇,16,良,False,2,3,クロスキャスト,牡,4,56.0,32.9,10.0,-6.0,東,15
1990/06/03,NZT4歳S(G2),曇,16,良,False,6,10,ハギノレジェンド,牡,4,56.0,3.8,2.0,0.0,西,中
2015/10/10,サウジアラビアRC(G),曇,12,良,False,5,6,ブレイブスマッシュ,牡,2,55.0,8.1,4.0,0.0,東,1
2015/10/10,サウジアラビアRC(G),曇,12,良,False,8,12,イモータル,牡,2,55.0,2.0,1.0,-4.0,西,2
2015/10/10,サウジアラビアRC(G),曇,12,良,False,8,11,アストラエンブレム,牡,2,55.0,3.7,2.0,-10.0,東,3
2015/10/10,サウジアラビアRC(G),曇,12,良,False,3,3,リセエンヌ,牝,2,54.0,12.8,5.0,2.0,西,4
2015/10/10,サウジアラビアRC(G),曇,12,良,False,7,9,ハレルヤボーイ,牡,2,55.0,6.8,3.0,-2.0,東,5
2015/10/10,サウジアラビアRC(G),曇,12,良,False,7,10,シトロン,牝,2,54.0,123.8,11.0,2.0,東,6
2015/10/10,サウジアラビアRC(G),曇,12,良,False,1,1,トウショウドラフタ,牡,2,55.0,51.7,7.0,-8.0,東,7
2015/10/10,サウジアラビアRC(G),曇,12,良,False,6,7,クラウンスカイ,牡,2,55.0,130.1,12.0,2.0,東,8
2015/10/10,サウジアラビアRC(G),曇,12,良,False,5,5,ゴッドカリビアン,牝,2,54.0,80.1,9.0,0.0,西,9
2015/10/10,サウジアラビアRC(G),曇,12,良,False,4,4,マコトルーメン,牡,2,55.0,16.6,6.0,6.0,東,10
2015/10/10,サウジアラビアRC(G),曇,12,良,False,6,8,コスモプロテア,牡,2,55.0,57.3,8.0,0.0,東,11
2015/10/10,サウジアラビアRC(G),曇,12,良,False,2,2,アポロジョージア,牡,2,55.0,81.8,10.0,2.0,東,12
2001/06/03,安田記念(G1),晴,18,良,False,8,17,ブラックホーク,牡,7,58.0,20.1,9.0,0.0,東,1
2001/06/03,安田記念(G1),晴,18,良,False,5,10,ブレイクタイム,牡,4,58.0,120.5,15.0,0.0,西,2
2001/06/03,安田記念(G1),晴,18,良,False,8,18,メイショウオウドウ,牡,6,58.0,17.7,7.0,-12.0,西,3
2001/06/03,安田記念(G1),晴,18,良,False,7,14,シンコウエドワード,牡,6,58.0,85.5,14.0,-4.0,東,4
2001/06/03,安田記念(G1),晴,18,良,False,6,11,ビハインドザマスク,牝,5,56.0,25.4,11.0,-6.0,西,5
2001/06/03,安田記念(G1),晴,18,良,False,7,13,アメリカンボス,牡,6,58.0,33.9,12.0,2.0,東,6
2001/06/03,安田記念(G1),晴,18,良,False,5,9,タイキブライドル,牡,6,58.0,64.5,13.0,0.0,東,7
2001/06/03,安田記念(G1),晴,18,良,False,8,16,ダイワカーリアン,牡,8,58.0,175.1,18.0,0.0,東,8
2001/06/03,安田記念(G1),晴,18,良,False,3,6,フェアリーキングプローン,セ,6,58.0,4.6,1.0,0.0,外,9
2001/06/03,安田記念(G1),晴,18,良,False,4,7,エイシンプレストン,牡,4,58.0,22.9,10.0,4.0,西,10
2001/06/03,安田記念(G1),晴,18,良,False,6,12,アグネスデジタル,牡,4,58.0,17.7,6.0,-2.0,西,11
2001/06/03,安田記念(G1),晴,18,良,False,1,2,ヤマカツスズラン,牝,4,56.0,126.3,16.0,2.0,西,12
2001/06/03,安田記念(G1),晴,18,良,False,4,8,ジョウテンブレーヴ,牡,4,58.0,5.3,3.0,-6.0,東,13
2001/06/03,安田記念(G1),晴,18,良,False,1,1,トロットスター,牡,5,58.0,5.8,4.0,-4.0,東,14
2001/06/03,安田記念(G1),晴,18,良,False,2,3,スティンガー,牝,5,56.0,4.6,2.0,2.0,東,15
2001/06/03,安田記念(G1),晴,18,良,False,7,15,テスタロッサ,牡,5,58.0,10.9,5.0,0.0,外,16
2001/06/03,安田記念(G1),晴,18,良,False,3,5,マチカネキンノホシ,牡,5,58.0,19.0,8.0,-6.0,東,17
2001/06/03,安田記念(G1),晴,18,良,False,2,4,ギャラクシーウイン,牡,4,58.0,139.6,17.0,0.0,東,18
2013/11/23,キャピタルS(OP),晴,18,良,False,4,7,サトノギャラント,牡,4,56.0,2.4,1.0,-4.0,東,1
2013/11/23,キャピタルS(OP),晴,18,良,False,5,9,トリップ,牡,4,56.0,55.2,11.0,4.0,西,2
2013/11/23,キャピタルS(OP),晴,18,良,False,4,8,メイケイペガスター,牡,3,56.0,9.0,4.0,12.0,西,3
2013/11/23,キャピタルS(OP),晴,18,良,False,3,6,タイキパーシヴァル,牡,5,56.0,59.6,12.0,-4.0,西,4
2013/11/23,キャピタルS(OP),晴,18,良,False,6,11,コスモソーンパーク,牡,5,56.0,48.5,10.0,6.0,東,5
2013/11/23,キャピタルS(OP),晴,18,良,False,7,15,シャイニープリンス,牡,3,55.0,7.6,3.0,6.0,東,6
2013/11/23,キャピタルS(OP),晴,18,良,False,1,1,レッドアリオン,牡,3,55.0,9.4,5.0,6.0,西,7
2013/11/23,キャピタルS(OP),晴,18,良,False,2,4,スイートサルサ,牝,3,53.0,5.7,2.0,2.0,東,8
