date,race,weather,horses,condition,fam,gate,number,name,sex,age,weight,odds,popular,weight_diff,training_center
2019-06-02,安田記念,晴,16,良,0,1,1,ケイアイノーテック,牡,4,58,64.5,10,-4,西
2019-06-02,安田記念,晴,16,良,0,1,2,アエロリット,牝,5,56,12.5,3,4,東
2019-06-02,安田記念,晴,16,良,0,2,3,サクラアンプルール,牡,8,58,203.5,15,2,西
2019-06-02,安田記念,晴,16,良,0,2,4,サングレーザー,牡,5,58,26.9,6,-2,西
2019-06-02,安田記念,晴,16,良,0,3,5,インディチャンプ,牡,4,58,19.2,4,0,西
2019-06-02,安田記念,晴,16,良,0,3,6,グァンチャーレ,牡,7,58,103.3,13,0,西
2019-06-02,安田記念,晴,16,良,0,4,7,モズアスコット,牡,5,58,35.4,7,-8,西
2019-06-02,安田記念,晴,16,良,0,4,8,ステルヴィオ,牡,4,58,21.4,5,8,東
2019-06-02,安田記念,晴,16,良,0,5,9,スマートオーディン,牡,6,58,73.7,12,-4,西
2019-06-02,安田記念,晴,16,良,0,5,10,フィアーノロマーノ,牡,5,58,39.3,9,4,西
2019-06-02,安田記念,晴,16,良,0,6,11,エントシャイデン,牡,4,58,178.9,14,2,西
2019-06-02,安田記念,晴,16,良,0,6,12,ロードクエスト,牡,6,58,278.7,16,0,東
2019-06-02,安田記念,晴,16,良,0,7,13,ペルシアンナイト,牡,5,58,36.2,8,0,東
2019-06-02,安田記念,晴,16,良,0,7,14,アーモンドアイ,牝,4,56,1.7,1,0,東
2019-06-02,安田記念,晴,16,良,0,8,15,ダノンプレミアム,牡,4,58,3.2,2,4,西
2019-06-02,安田記念,晴,16,良,0,8,16,ロジクライ,牡,6,58,70.5,11,-2,西
